Date : 2023-06-07 18:34:14
Directory : c:\Users\Fire and Ice\Documents\GitHub\frontend2\src
Total : 1322 files,  159544 codes, 12148 comments, 8730 blanks, all 180422 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
+------------+------------+------------+------------+------------+------------+
| CSS        |        264 |     68,140 |        541 |        182 |     68,863 |
| TypeScript |        680 |     39,763 |      6,731 |      1,709 |     48,203 |
| XML        |         18 |     21,746 |          0 |      1,074 |     22,820 |
| JavaScript |        146 |     20,121 |      3,322 |      4,542 |     27,985 |
| HTML       |        211 |      5,656 |      1,554 |        780 |      7,990 |
| Markdown   |          2 |      2,614 |          0 |        442 |      3,056 |
| JSON       |          1 |      1,504 |          0 |          1 |      1,505 |
+------------+------------+------------+------------+------------+------------+

Directories
+-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                                                                              | files      | code       | comment    | blank      | total      |
+-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                                                                                 |      1,322 |    159,544 |     12,148 |      8,730 |    180,422 |
| . (Files)                                                                                                                                                                         |          3 |        321 |        229 |         54 |        604 |
| ..                                                                                                                                                                                |        461 |    -56,043 |    -11,728 |     -4,431 |    -72,202 |
| ..\..                                                                                                                                                                             |        461 |    -56,043 |    -11,728 |     -4,431 |    -72,202 |
| ..\..\frontend                                                                                                                                                                    |        461 |    -56,043 |    -11,728 |     -4,431 |    -72,202 |
| ..\..\frontend\plate                                                                                                                                                              |        461 |    -56,043 |    -11,728 |     -4,431 |    -72,202 |
| ..\..\frontend\plate\src                                                                                                                                                          |        461 |    -56,043 |    -11,728 |     -4,431 |    -72,202 |
| ..\..\frontend\plate\src\app                                                                                                                                                      |        461 |    -56,043 |    -11,728 |     -4,431 |    -72,202 |
| ..\..\frontend\plate\src\app (Files)                                                                                                                                              |          6 |       -818 |        -63 |       -103 |       -984 |
| ..\..\frontend\plate\src\app\Admin                                                                                                                                                |         50 |     -5,548 |     -1,134 |       -269 |     -6,951 |
| ..\..\frontend\plate\src\app\Admin\c                                                                                                                                              |         36 |     -5,260 |     -1,112 |       -221 |     -6,593 |
| ..\..\frontend\plate\src\app\Admin\c\change-password                                                                                                                              |          4 |       -457 |         -4 |        -25 |       -486 |
| ..\..\frontend\plate\src\app\Admin\c\functionalities                                                                                                                              |          4 |       -418 |         -5 |        -20 |       -443 |
| ..\..\frontend\plate\src\app\Admin\c\functionalities_role_based                                                                                                                   |          4 |       -430 |        -66 |        -19 |       -515 |
| ..\..\frontend\plate\src\app\Admin\c\logins                                                                                                                                       |          4 |       -410 |       -147 |        -21 |       -578 |
| ..\..\frontend\plate\src\app\Admin\c\mm                                                                                                                                           |          4 |       -278 |       -127 |        -20 |       -425 |
| ..\..\frontend\plate\src\app\Admin\c\register-actor                                                                                                                               |          4 |       -943 |       -130 |        -29 |     -1,102 |
| ..\..\frontend\plate\src\app\Admin\c\roles                                                                                                                                        |          4 |       -695 |       -294 |        -29 |     -1,018 |
| ..\..\frontend\plate\src\app\Admin\c\user-activities                                                                                                                              |          4 |       -383 |        -78 |        -19 |       -480 |
| ..\..\frontend\plate\src\app\Admin\c\users                                                                                                                                        |          4 |     -1,246 |       -261 |        -39 |     -1,546 |
| ..\..\frontend\plate\src\app\Admin\guards                                                                                                                                         |          2 |        -47 |          0 |         -7 |        -54 |
| ..\..\frontend\plate\src\app\Admin\payloads                                                                                                                                       |          9 |        -80 |        -14 |         -9 |       -103 |
| ..\..\frontend\plate\src\app\Admin\services                                                                                                                                       |          2 |       -145 |         -2 |        -28 |       -175 |
| ..\..\frontend\plate\src\app\Admin\validators                                                                                                                                     |          1 |        -16 |         -6 |         -4 |        -26 |
| ..\..\frontend\plate\src\app\Approver                                                                                                                                             |         49 |     -5,132 |       -221 |       -561 |     -5,914 |
| ..\..\frontend\plate\src\app\Approver\c                                                                                                                                           |         40 |     -4,915 |       -221 |       -515 |     -5,651 |
| ..\..\frontend\plate\src\app\Approver\c\remark                                                                                                                                    |         16 |     -1,756 |        -64 |       -205 |     -2,025 |
| ..\..\frontend\plate\src\app\Approver\c\remark\send-account-remark                                                                                                                |          4 |       -303 |         -6 |        -36 |       -345 |
| ..\..\frontend\plate\src\app\Approver\c\remark\send-currency-remark                                                                                                               |          4 |       -303 |         -6 |        -32 |       -341 |
| ..\..\frontend\plate\src\app\Approver\c\remark\view-account-remark                                                                                                                |          4 |       -574 |        -27 |        -67 |       -668 |
| ..\..\frontend\plate\src\app\Approver\c\remark\view-currency-remark                                                                                                               |          4 |       -576 |        -25 |        -70 |       -671 |
| ..\..\frontend\plate\src\app\Approver\c\requests                                                                                                                                  |         24 |     -3,159 |       -157 |       -310 |     -3,626 |
| ..\..\frontend\plate\src\app\Approver\c\requests\account-requests                                                                                                                 |          4 |       -862 |        -42 |        -68 |       -972 |
| ..\..\frontend\plate\src\app\Approver\c\requests\approved-account-requests                                                                                                        |          4 |       -357 |        -14 |        -45 |       -416 |
| ..\..\frontend\plate\src\app\Approver\c\requests\approved-currency-requests                                                                                                       |          4 |       -352 |        -20 |        -41 |       -413 |
| ..\..\frontend\plate\src\app\Approver\c\requests\currency-requests                                                                                                                |          4 |       -875 |        -41 |        -68 |       -984 |
| ..\..\frontend\plate\src\app\Approver\c\requests\rejected-account-requests                                                                                                        |          4 |       -359 |        -20 |        -45 |       -424 |
| ..\..\frontend\plate\src\app\Approver\c\requests\rejected-currency-requests                                                                                                       |          4 |       -354 |        -20 |        -43 |       -417 |
| ..\..\frontend\plate\src\app\Approver\guard                                                                                                                                       |          2 |        -31 |          0 |         -8 |        -39 |
| ..\..\frontend\plate\src\app\Approver\payloads                                                                                                                                    |          5 |        -43 |          0 |         -8 |        -51 |
| ..\..\frontend\plate\src\app\Approver\services                                                                                                                                    |          2 |       -143 |          0 |        -30 |       -173 |
| ..\..\frontend\plate\src\app\Auth                                                                                                                                                 |         16 |     -1,231 |        -86 |        -96 |     -1,413 |
| ..\..\frontend\plate\src\app\Auth\guards                                                                                                                                          |          4 |        -90 |         -2 |        -14 |       -106 |
| ..\..\frontend\plate\src\app\Auth\guards (Files)                                                                                                                                  |          2 |        -46 |          0 |         -7 |        -53 |
| ..\..\frontend\plate\src\app\Auth\guards\login                                                                                                                                    |          2 |        -44 |         -2 |         -7 |        -53 |
| ..\..\frontend\plate\src\app\Auth\login                                                                                                                                           |          4 |       -433 |        -75 |        -34 |       -542 |
| ..\..\frontend\plate\src\app\Auth\signup                                                                                                                                          |          8 |       -708 |         -9 |        -48 |       -765 |
| ..\..\frontend\plate\src\app\Auth\signup (Files)                                                                                                                                  |          4 |       -646 |         -8 |        -37 |       -691 |
| ..\..\frontend\plate\src\app\Auth\signup\multi-dropdown-subject                                                                                                                   |          4 |        -62 |         -1 |        -11 |        -74 |
| ..\..\frontend\plate\src\app\ErrorHandling                                                                                                                                        |          4 |        -64 |         -1 |        -14 |        -79 |
| ..\..\frontend\plate\src\app\ErrorHandling (Files)                                                                                                                                |          2 |        -28 |         -1 |         -7 |        -36 |
| ..\..\frontend\plate\src\app\ErrorHandling\HttpErrorHandler                                                                                                                       |          2 |        -36 |          0 |         -7 |        -43 |
| ..\..\frontend\plate\src\app\User                                                                                                                                                 |        255 |    -39,735 |     -8,987 |     -3,003 |    -51,725 |
| ..\..\frontend\plate\src\app\User\c                                                                                                                                               |        202 |    -38,545 |     -8,924 |     -2,773 |    -50,242 |
| ..\..\frontend\plate\src\app\User\c\components                                                                                                                                    |        200 |    -38,515 |     -8,924 |     -2,764 |    -50,203 |
| ..\..\frontend\plate\src\app\User\c\components\account-remark-replay                                                                                                              |          4 |       -290 |        -15 |        -61 |       -366 |
| ..\..\frontend\plate\src\app\User\c\components\account-rmark                                                                                                                      |          4 |       -702 |       -127 |        -37 |       -866 |
| ..\..\frontend\plate\src\app\User\c\components\all-accounts                                                                                                                       |          4 |       -530 |        -45 |        -49 |       -624 |
| ..\..\frontend\plate\src\app\User\c\components\all-currencies                                                                                                                     |          4 |       -578 |        -53 |        -48 |       -679 |
| ..\..\frontend\plate\src\app\User\c\components\approved-accounts                                                                                                                  |          4 |       -511 |        -61 |        -51 |       -623 |
| ..\..\frontend\plate\src\app\User\c\components\approved-currencies                                                                                                                |          4 |       -553 |        -71 |        -44 |       -668 |
| ..\..\frontend\plate\src\app\User\c\components\create-account                                                                                                                     |          4 |       -462 |        -51 |        -41 |       -554 |
| ..\..\frontend\plate\src\app\User\c\components\create-currency                                                                                                                    |          4 |       -331 |        -25 |        -53 |       -409 |
| ..\..\frontend\plate\src\app\User\c\components\currency-edit                                                                                                                      |          4 |       -412 |        -21 |        -76 |       -509 |
| ..\..\frontend\plate\src\app\User\c\components\currency-list                                                                                                                      |          4 |       -586 |       -239 |        -57 |       -882 |
| ..\..\frontend\plate\src\app\User\c\components\currency-remark-edit                                                                                                               |          4 |        -27 |          0 |        -11 |        -38 |
| ..\..\frontend\plate\src\app\User\c\components\edit-account                                                                                                                       |          4 |       -513 |        -27 |        -65 |       -605 |
| ..\..\frontend\plate\src\app\User\c\components\edit-account-rmark                                                                                                                 |          4 |       -376 |        -16 |        -44 |       -436 |
| ..\..\frontend\plate\src\app\User\c\components\edit-currency-remark                                                                                                               |          4 |       -376 |        -14 |        -43 |       -433 |
| ..\..\frontend\plate\src\app\User\c\components\edit-pending-accounts                                                                                                              |          4 |       -517 |        -51 |        -37 |       -605 |
| ..\..\frontend\plate\src\app\User\c\components\edit-pending-currencies                                                                                                            |          4 |       -411 |        -71 |        -71 |       -553 |
| ..\..\frontend\plate\src\app\User\c\components\file-upload                                                                                                                        |          4 |     -1,233 |       -192 |        -52 |     -1,477 |
| ..\..\frontend\plate\src\app\User\c\components\list-account                                                                                                                       |          4 |       -601 |       -130 |        -48 |       -779 |
| ..\..\frontend\plate\src\app\User\c\components\partial-automatic                                                                                                                  |          4 |     -1,525 |       -306 |        -56 |     -1,887 |
| ..\..\frontend\plate\src\app\User\c\components\partial-matched                                                                                                                    |          4 |     -1,403 |     -1,177 |        -62 |     -2,642 |
| ..\..\frontend\plate\src\app\User\c\components\pending-accounts                                                                                                                   |          4 |       -561 |        -75 |        -46 |       -682 |
| ..\..\frontend\plate\src\app\User\c\components\pending-currencies                                                                                                                 |          4 |       -579 |        -67 |        -53 |       -699 |
| ..\..\frontend\plate\src\app\User\c\components\recon-automatic                                                                                                                    |          4 |     -1,475 |       -327 |        -58 |     -1,860 |
| ..\..\frontend\plate\src\app\User\c\components\recon-manual-speed                                                                                                                 |          4 |     -4,121 |       -585 |       -114 |     -4,820 |
| ..\..\frontend\plate\src\app\User\c\components\reconcile                                                                                                                          |          4 |        -78 |         -5 |        -15 |        -98 |
| ..\..\frontend\plate\src\app\User\c\components\rejected-accounts                                                                                                                  |          4 |       -545 |       -251 |        -40 |       -836 |
| ..\..\frontend\plate\src\app\User\c\components\rejected-currencies                                                                                                                |          4 |       -575 |        -68 |        -50 |       -693 |
| ..\..\frontend\plate\src\app\User\c\components\remark                                                                                                                             |          4 |       -606 |       -106 |        -64 |       -776 |
| ..\..\frontend\plate\src\app\User\c\components\replay-remark                                                                                                                      |          4 |       -283 |        -15 |        -59 |       -357 |
| ..\..\frontend\plate\src\app\User\c\components\report                                                                                                                             |          4 |       -414 |       -145 |        -22 |       -581 |
| ..\..\frontend\plate\src\app\User\c\components\report\report-all                                                                                                                  |          4 |       -414 |       -145 |        -22 |       -581 |
| ..\..\frontend\plate\src\app\User\c\components\transaction-matching-view                                                                                                          |         48 |    -10,998 |     -2,086 |       -671 |    -13,755 |
| ..\..\frontend\plate\src\app\User\c\components\transaction-matching-view\all-view                                                                                                 |          4 |        -55 |          0 |        -13 |        -68 |
| ..\..\frontend\plate\src\app\User\c\components\transaction-matching-view\btb-view                                                                                                 |          4 |        -45 |        -10 |        -12 |        -67 |
| ..\..\frontend\plate\src\app\User\c\components\transaction-matching-view\erca-view                                                                                                |          4 |        -45 |        -10 |        -13 |        -68 |
| ..\..\frontend\plate\src\app\User\c\components\transaction-matching-view\rtgs-view                                                                                                |          4 |        -45 |        -11 |        -11 |        -67 |
| ..\..\frontend\plate\src\app\User\c\components\transaction-matching-view\sos-view                                                                                                 |          4 |        -45 |        -10 |        -13 |        -68 |
| ..\..\frontend\plate\src\app\User\c\components\transaction-matching-view\view-all-matched                                                                                         |          4 |     -1,333 |       -351 |        -92 |     -1,776 |
| ..\..\frontend\plate\src\app\User\c\components\transaction-matching-view\view-all-partially-matched                                                                               |          4 |     -1,688 |       -274 |        -86 |     -2,048 |
| ..\..\frontend\plate\src\app\User\c\components\transaction-matching-view\view-all-unmatched                                                                                       |          4 |     -1,101 |       -322 |        -78 |     -1,501 |
| ..\..\frontend\plate\src\app\User\c\components\transaction-matching-view\view-btb-matched                                                                                         |          4 |     -1,618 |       -280 |        -90 |     -1,988 |
| ..\..\frontend\plate\src\app\User\c\components\transaction-matching-view\view-erca-matched                                                                                        |          4 |     -1,846 |       -283 |        -89 |     -2,218 |
| ..\..\frontend\plate\src\app\User\c\components\transaction-matching-view\view-rtgs-matched                                                                                        |          4 |     -1,499 |       -255 |        -97 |     -1,851 |
| ..\..\frontend\plate\src\app\User\c\components\transaction-matching-view\view-sos-matched                                                                                         |          4 |     -1,678 |       -280 |        -77 |     -2,035 |
| ..\..\frontend\plate\src\app\User\c\components\view-account-request                                                                                                               |          4 |     -1,366 |       -656 |        -74 |     -2,096 |
| ..\..\frontend\plate\src\app\User\c\components\view-currency-request                                                                                                              |          4 |     -1,356 |       -698 |        -67 |     -2,121 |
| ..\..\frontend\plate\src\app\User\c\components\view-edited-core                                                                                                                   |          4 |       -647 |       -100 |        -66 |       -813 |
| ..\..\frontend\plate\src\app\User\c\components\view-edited-nbe                                                                                                                    |          4 |       -650 |        -85 |        -60 |       -795 |
| ..\..\frontend\plate\src\app\User\c\components\view-edited-transaction                                                                                                            |          4 |        -55 |          0 |        -15 |        -70 |
| ..\..\frontend\plate\src\app\User\c\components\view-matching-reason                                                                                                               |          4 |     -1,250 |       -335 |        -89 |     -1,674 |
